row_id,USERID,TIMESTAMP,belongSys,logs,_id,record,mydate,eid,ename,day_item_id,belongsession,logTime,interval_logs
9141519887,10405027,2022-08-17 22:05,1,0x5,1,0,2022-08-10,47,Push Up,0,1,1660164866,60
9141519888,10405027,2022-08-17 22:05,1,"0x0,0x0,0x0,0x0,0x62",2,0,2022-08-10,631,Plank,0,1,1660164960,
9141519889,10405027,2022-08-17 22:05,1,,3,0,2022-08-10,1209,Bodyweight Wall Squat,0,1,1660165058,122
9141246781,10405027,2024-01-22 16:11,1,"10x5,10x3,10x4",4,5,2022-08-11,47,Push-Up,105,2,1660250624,"0,0,0"
9141279478,10405027,2024-01-22 16:11,1,"50x12,60x12,60x12",5,84,2022-08-11,193,Dumbbell Deadlift,107,2,1660250916,"0,0,0"
9141302811,10405027,2024-01-22 16:11,1,"25x10,30x10,30x10",6,40,2022-08-11,751,Barbell Squat to Shoulder Press,108,2,1660251288,"0,0,0"
9141377479,10405027,2024-01-22 16:11,1,"10x12,12x10,15x6",7,18,2022-08-11,293,Dumbbell Forward Lunge with Bicep Curl,109,2,1660251661,"0,0,0"
9141398990,10405027,2022-08-17 22:05,1,"17x14,20x8,20x8",8,25.33,2022-08-11,26,Dumbbell Bench Press,110,2,1660252054,"0,0,0"
9141425975,10405027,2022-08-17 22:05,1,"30x12,30x12,40x8",9,50.66,2022-08-11,134,Dumbbell Step-Up,112,2,1660252428,"0,0,0"
9141474456,10405027,2022-08-17 22:05,1,"10x5,10x5,10x4",10,11.66,2022-08-11,1189,Single Bench Dip,113,2,1660252781,"0,0,0"
9185545329,10405027,2022-08-17 21:11,1,"40x12,45x12,50x8",11,63.33,2022-08-17,131,Dumbbell Squat,91,3,1660770355,"0,0,0"
9185610815,10405027,2022-08-17 21:19,1,"30x16,40x16,45x10",12,61.33,2022-08-17,386,Barbell Hip Thrust,96,3,1660770836,"0,0,0"
9185655836,10405027,2022-08-17 21:24,1,"10x8,10x16,10x16",13,16,2022-08-17,476,Jump Squat,93,3,1660771259,"0,0,0"
9185722762,10405027,2022-08-17 21:32,1,"30x8,30x10,30x10",14,40,2022-08-17,473,Dumbbell Rear Lunge,97,3,1660771625,"0,0,0"
9185790279,10405027,2022-08-17 21:39,1,"20x16,22.5x16,25x16",15,38.33,2022-08-17,213,Dumbbell Plie' Squat,94,3,1660772099,"0,0,0"
9185832680,10405027,2022-08-17 21:50,1,"15x16,17.5x16,25x12",16,35,2022-08-17,299,Seated Single-Leg Calf Raise,98,3,1660772599,"0,0,0"
9185953654,10405027,2022-08-17 21:58,1,"25x8,25x8,25x6",17,31.66,2022-08-17,205,Barbell Bulgarian Split Squat,99,3,1660773189,"0,0,0"
9186040451,10405027,2022-08-17 22:05,1,"50x9,50x10,50x10",18,66.66,2022-08-17,193,Dumbbell Deadlift,143,3,1660773647,"0,0,0"
9221210762,10405027,2022-08-22 21:55,1,"10x5,10x5,10x4",19,5,2022-08-22,47,Push-Up,160,4,1661205111,"0,0,0"
9221258845,10405027,2022-08-22 22:02,1,"15x8,15x8,12.5x9",20,19,2022-08-22,116,Dumbbell Alternating Bicep Curl,122,4,1661205457,"0,0,0"
9221300303,10405027,2022-08-22 22:08,1,"10x11,10x12,10x12",21,14,2022-08-22,32,Dumbbell Lateral Raise,119,4,1661205866,"0,0,0"
9221393313,10405027,2022-08-22 22:16,1,"25x12,25x8,25x8",22,35,2022-08-22,90,Dumbbell One-Arm Row,121,4,1661206284,"0,0,0"
