rowid,_id,USERID,edit_time,day_id,total_time,workout_time,rest_time,wasted_time,total_exercise,total_weight,recordbreak,starttime,endtime,workout_mode,TIMESTAMP,calories
1262674536,1,10405027,1660165179,0,320,182,60,0,3,0,3,1660164861,1660165181,1,2022-08-11 21:23,0
1262674421,2,10405027,1660252967,0,2382,980,1206,0,7,5078,7,1660250585,1660252967,0,2022-08-11 21:22,0
1268933467,3,10405027,1660773909,0,3636,1325,1384,207,8,8130,7,1660770271,1660773907,0,2022-08-17 22:05,0
1273969201,4,10405027,1661207628,0,2560,900,1206,0,7,2562,6,1661205066,1661207626,0,2022-08-22 22:33,0
1276476540,5,10405027,1661380599,18,3294,1564,1389,0,8,10200,5,1661377304,1661380598,0,2022-08-29 22:59,0
1281557889,6,10405027,1661813916,22,2808,1177,1024,67,6,9065,4,1661809477,1661812285,0,2022-08-29 22:58,0
1283955518,7,10405027,1661985277,21,2491,996,1026,0,6,2405,6,1661982785,1661985276,0,2022-08-31 22:34,0
1303813212,8,10405027,1663625230,23,1636,641,632,0,5,1742,2,1663623592,1663625228,0,2022-09-19 22:07,0
1312707817,9,10405027,1664490732,22,2905,1094,1024,247,6,8640,4,1664487827,1664490732,0,2022-10-07 22:30,0
1319074882,10,10405027,1665181712,24,3823,1218,1408,477,8,3349,4,1665177889,1665181712,0,2022-10-07 22:28,0
1320208158,11,10405027,1665347720,18,2672,762,846,614,5,7430,4,1665345047,1665347719,0,2022-10-09 20:35,0
1323633016,12,10405027,1665695298,19,2724,791,878,605,5,3070,3,1665692575,1665695299,0,2022-10-13 21:08,0
1344065173,13,10405027,1667949459,22,2342,803,664,515,4,6975,2,1667947116,1667949458,0,2022-11-08 23:17,0
1406141912,14,10405027,1673211801,26,2289,508,1206,0,7,1937,5,1673209511,1673211800,0,2023-01-08 21:03,0
1407626384,15,10405027,1673307007,25,2051,618,669,404,4,4800,3,1673304956,1673307007,0,2023-01-09 23:30,0
1448640844,16,10405027,1675985778,22,2475,945,843,237,5,7050,1,1675983303,1675985778,0,2023-02-09 23:36,0
1466217569,17,10405027,1677194381,20,2090,560,848,232,5,1892,4,1677192291,1677194381,0,2023-02-23 23:19,0
1519222818,18,10405027,1680820059,22,2840,991,842,557,5,8530,1,1680817206,1680820046,0,2023-04-06 22:27,0
1522266986,19,10405027,1681078075,24,2880,947,1208,95,7,3725,3,1681075188,1681078068,0,2023-04-09 22:07,0
1602274291,20,10405027,1686416115,27,0,0,0,0,0,0,0,1686395242,1686395242,0,2023-06-10 16:55,0
1602518742,21,10405027,1686430966,28,7,0,0,7,0,0,0,1686430959,1686430966,0,2023-06-10 21:02,0
